1	4	лоб	anda	andube
2	3	голова	beč'	buč're
3	16	челюсть	č'amuk'ani	č'amuk'ume
4	6	ресница	č'imič'ala	č'imič'ule, č'imič'une
5	23	тело (живого)	čarχ	čurχle
6	18	зуб	cula	culbe
7	9	лицо	daˤʜ	
8	13	рот	dubi	dubre
9	5	глаз (а. глазница)	ħuˤli	ħulbe
10	14	губа	k'ʷet'	k'ut'be
11	24	внешний вид	kuc	kucane
12	10	щека	laˤži	laˤžube
13	8	ухо	liħi	liħbe
14	17	язык	lizmi	lizme
15	15	подбородок	muc'ulla q'ača	muc'úrt
16	12	клюв	muħli	muħlume
16	193	собака	χʷe	χurhe
17	7	бровь	ned	nudbe
18	20	горло	q'aq'ari	q'aq'urme
19	25	тело (мертвого)	q'arq'ala	q'arq'ult
20	19	коренной зуб	q'asa cula	
21	21	шея	qʷaˁnt'a, qaˁb	qʷaˁnt'ne, qaˁbne
22	11	нос	šumšut'i	šumšut'une
24	103	шерсть	bala	balube
25	91	толстая кишка	barχaʔʷari	barχaʔure
26	112	крыло	batari	baturme, baturt
27	119	мозг головной (а. мозг костный)	beč'la meħʷa	beč'la meħʷne
28	34	вымя (у любого скота)	burʜa	burʜne
29	67	верхняя часть ноги животного	buruk'	buruk'me, buruk'une
30	274	кусок	but'a	but'ne
31	63	пядь большая (от большого пальца до мизинца)	č'im	č'imane
32	38	задница	čagʷi	čagʷne
33	49	хвост	č'imí	č'imne
34	106	коса женская (а. половина пробора)	čuri	čurme
35	66	нога	daga	dagube
36	115	рана	daˁqi	daˁqu(r)be
37	370	мясо	diʔ	diʔane
38	85	внутренности	duħnala	duħnult
39	81	печень	duleč'	dulč'me
40	52	локоть	gaza naˤʁ	gaza nuʁe
41	45	сперма		ʡant'i
42	73	палец ноги	gubul	gublé
43	100	шкура мелкокопытного	ɣuli	ɣulbe
45	116	метка (на ухе овцы)	harzi	harzi
46	93	кровеносный сосуд	ħila tum	ħila tumane
47	92	пищевод	hunuh	hunuhune
48	35	сосок человека	mama	mamne
49	37	ягодицы	irʁe	irʁme
50	82	селезенка	k'ac'	k'uc're
51	102	шкура крупнокопытного (только содрали)	k'eχ	k'eχane, k'uχre
52	56	горсть (одной руки)	k'ʷaˤš	k'ʷaˤšane
53	101	шкура крупнокопытного (сухая)	ker	kerane
54	59	маленький кусок (напр. мяса)	kesek	kesek
55	53	лапа	kʷač'	kuč're
56	94	кость (а. сплошная; б. трубчатая; в. позвонок; г. ребро)	liga	ligube
58	40	у ребенка	mant'u	mant'ne
59	88	закваска из сычуга	maxa	maxne
60	62	горсть (двумя руками)	meħ	muħre, meħane
61	33	грудь (у барана)	miqiri	miqurt
62	109	борода	muc'ur	muc'urt
63	28	спина	muʔ	muʔane
64	61	маленький кусок хлеба	muq'liču	muq'ličune
65	51	рука	naˤʁ	nuʁeˤ
66	74	ноготь	nikʷa	nikube
67	42	половые губы	p'aˤt'u	p'aˤt'ne
69	57	земельный участок	paj	pajane
70	60	кусок (напр. мяса)	palča	palčne
71	111	перо	poʜoli	poʜle
72	68	пятка	q'aˁč'a	q'aˁč'ube
73	105	прическа мужская	q'amá	q'amne
74	108	грива лошади 	q'amaku	q'amakune
75	499	гребень петуха	q'amč'a	q'amč'ne
76	97	хрящ	q'amsi	q'amsne
77	44	яйца (у человека и барана)	q'uleq'a	q'ulq'me
78	71	колено	q'uq'a	q'uq'ube
79	29	плечо	qarč'ala	qarč'ulbe, ̈qarč'ult
80	55	ладонь	qat	qutre
81	32	грудь (у человека)	qazam	qazamt
82	113	рог	qi	qime
83	36	пупок	qudu	qudne
84	65	пядь малая (от большого до указательного пальца)	qʷač'im	qʷač'imt
85	75	копыто (лошади, осла)	ʁab	ʁabane
86	84	живот	ʁaga	ʁugne
87	39	член мужской	rix	rixane
88	104	волос (а. волосяной покров головы)	ʁiz	ʁizbe
89	90	тонкая кишка	rud	rude
90	89	12перстная	ʁuʁa	ʁuʁne
93	30	подмышка	šalʔʷala k'awʔ	šalʔʷala k'awʔane
94	76	копыто (коровы, барана, )	šiq'	šiq'ane
95	110	ус	sersit'ani	sersit'une
96	72	палец руки	t'ul	t'ule
97	114	прыщ	t'inh	t'inhbe
98	86	сычуг	umχet'	
99	83	почка	urcec'	urcec'une
100	70	бедро	urdur	urdurbe
101	79	сердце	urk'i	urk'be
102	27	туша	χamalag	χamalagune
103	80	легкое	χʷarhala	χurhʷle, χʷarhult
104	54	кулак	χunk'	χunk'ane
105	69	голень	zilik'	zilk'me
108	136	мать (а. = ; б. мама)	abaj	abajqale
109	135	отец (а. = ; б. папа)	adaj	adajqale
110	139	троюродный брат / сестра	q'uniq'ari	q'umbuq'ure
111	140	сестра (а. = ; б. двоюродная; в. троюродная)	ruzi	ruzbe
112	141	двоюродная сестра	ruziq'ari	ruzbuq'ure
113	137	брат (а. = ; б. двоюродный; в. троюродный)	uzi	uzbe
114	138	двоюродный брат	uziq'ari	uzbuq'ure
115	146	мужчина, муж	adami	adamule
116	158	вооруженный отряд	askar (azkar)	askart (azkart)
117	204	волк	bec'	buc'e
118	155	пастух овец	buk'un	buk'unume, buk'unt
119	172	бык (производитель)	buʁa	buʁne
120	162	овца 1-3 лет	čibiq'ari	čibiq'urt, čibiq'ure
121	198	петух	dakda	dakdube, dakdne
122	188	безрогий козел	dawa	dawne
123	143	детеныш животного	doˤrʜoˤ	doˤrʜne, doˤrʜbe
124	167	ягненок 2-3 месяца	dulaj	dulʔme
125	144	дочь (а. = ; б. девочка)	dursi	dursbe
126	145	ребенок	eli	ule
127	201	олень	enc'er	enc'ert
