транскрипция;орфография;часть речи;английский перевод;русский перевод
anda;анда;n;forehead;лоб
NOM.PL: andube;NOM.PL: андубе;;;
be?';бечI;n;head;голова
NOM.PL: bu?'re;NOM.PL: бучIре;;;
?'amuk'ani;чIамукIани;n;jaw;челюсть
NOM.PL: ?'amuk'une;NOM.PL: чIамукIуне;;;
?'imi?'ala;чIимичIала;n;eyelash;ресница
NOM.PL: ?'imi?'ule, ?'imi?'une;NOM.PL: чIимичIуле, чIимичIуне;;;
?ar?;чарх;n;body;тело
NOM.PL: ?ur?le;NOM.PL: чурхле;;;
cula;цула;n;tooth;зуб
NOM.PL: culbe;NOM.PL: цулбе;;;
da??;дяхI;n;face;лицо
dubi;дуби;n;mouth;рот
NOM.PL: dubre;NOM.PL: дубре;;;
?u?li;хIуIли;n;eye;глаз
NOM.PL: ?ulbe;NOM.PL: хIулбе;;;
k'?et';кIветI;n;lip;губа
NOM.PL: k'ut'be;NOM.PL: кIутIбе;;;
kuc;куц;n;appearance;внешний вид
NOM.PL: kucane;NOM.PL: куцане;;;
la??i;ляжи;n;cheek;щека
NOM.PL: la??ube;NOM.PL: ляжубе;;;
li?i;лихIи;n;ear;ухо
NOM.PL: li?be;NOM.PL: лихIбе;;;
nizmi;низми;n;tongue;язык
NOM.PL: nizme;NOM.PL: низме;;;
muc'ulla q'a?'a;муцIулла къачIа;n;chin;подбородок
NOM.PL: muc'?rt;NOM.PL: муцIурт;;;
mu?li;мухIли;n;beak;клюв
NOM.PL: mu?lume;NOM.PL: мухIлуме;;;
??e;хве;n;dog;собака
NOM.PL: ?urhe;NOM.PL: хургье;;;
ned;нед;n;brow;бровь
NOM.PL: nudbe;NOM.PL: нудбе;;;
q'aq'ari;къакъари;n;throat;горло
NOM.PL: (q'aq'urme), q'aq'urt;NOM.PL: (къакъурме), къакъурт;;;
q'arq'ala;къаркъала;n;dead body;тело (мертвого)
NOM.PL: q'arq'ult;NOM.PL: къаркъулт;;;
q'asa cula;къаса цула;n;molar;коренной зуб
q?a?nt'a, qa?b;хъвянтIа, хъяб;n;neck;шея
